,scenario,num_agents,Length,Success,Time
424,maze-128-128-2-random-17,4,2381.8792924010804,True,3.467549019
425,random-64-64-20-random-9,15,722.6000717874996,True,1.200424369
426,lak303d-random-11,2,184.53910524340085,True,0.177935492
427,room-64-64-8-random-19,4,76.1126983722081,True,0.046356052
428,ost003d-random-4,10,895.1930009000632,True,1.308134213
429,ht_chantry-random-10,15,,False,
430,warehouse-10-20-10-2-1-random-8,2,232.42640687119282,True,0.092460548
431,room-64-64-16-random-18,10,513.0731598529186,True,0.203456511
432,maze-128-128-2-random-8,4,2202.222438151588,True,3.45666594
433,den312d-random-14,20,,False,
434,Paris_1_256-random-19,10,,False,0.903940968
435,random-32-32-20-random-11,2,47.55634918610405,True,0.015713795
436,lak303d-random-10,2,622.6295090390238,True,0.605175713
437,Berlin_1_256-random-20,2,174.91168824543138,True,0.280080092
438,maze-32-32-2-random-21,10,,False,2.718565714
439,lak303d-random-24,2,554.3746750430844,True,0.496220195
440,lak303d-random-24,20,,False,
441,orz900d-random-18,15,,False,
442,empty-32-32-random-23,2,33.48528137423857,True,0.013401754
443,empty-48-48-random-9,10,,False,2.528428741
444,maze-128-128-10-random-15,4,,False,0.229042387
445,maze-128-128-2-random-4,10,,False,
446,maze-128-128-10-random-7,20,,False,5.293388057
447,maze-32-32-4-random-12,20,,False,
448,random-32-32-10-random-4,10,219.5512985522207,True,0.514843536
449,maze-32-32-2-random-16,15,,False,4.511711661
450,random-32-32-10-random-19,20,,False,
451,warehouse-10-20-10-2-2-random-17,15,1370.771644662754,True,1.6523337439999999
452,Boston_0_256-random-13,4,695.2396820942895,True,0.884789635
453,lak303d-random-15,4,,False,
454,lak303d-random-9,2,197.99494936611654,True,0.209014491
455,lak303d-random-23,20,,False,
456,ht_mansion_n-random-15,2,252.52186130069782,True,0.220204723
457,maze-128-128-2-random-3,4,1300.3746750430846,True,1.184828003
458,random-32-32-20-random-1,10,,False,0.351579759
459,Boston_0_256-random-6,20,,False,
460,w_woundedcoast-random-22,4,,False,3.528146211
461,empty-32-32-random-3,20,,False,
462,empty-32-32-random-6,10,,False,2.735098194
463,brc202d-random-16,4,,False,3.209691735
464,maze-128-128-10-random-22,15,,False,0.718514854
465,random-32-32-20-random-14,10,193.56854249492386,True,0.072457466
466,warehouse-10-20-10-2-2-random-18,10,848.8061325481602,True,7.94730314
467,maze-128-128-2-random-6,2,829.0782104868026,True,0.708301909
468,lt_gallowstemplar_n-random-15,10,,False,
469,warehouse-20-40-10-2-2-random-15,20,,False,
470,empty-8-8-random-16,4,10.82842712474619,True,0.002525071
471,room-64-64-8-random-15,10,,False,2.697976199
472,Paris_1_256-random-9,20,,False,7.016873769
473,warehouse-20-40-10-2-2-random-24,15,,False,2.676948073
474,den520d-random-7,10,1573.9646455628174,True,3.326610878
475,Boston_0_256-random-18,4,577.854905783439,True,0.790651655
476,Berlin_1_256-random-16,10,,False,0.833160409
477,Paris_1_256-random-10,15,,False,1.580060558
478,random-64-64-20-random-5,2,46.31370849898477,True,0.040006055
479,random-64-64-10-random-9,4,167.1248916810278,True,0.09657272
480,room-64-64-16-random-12,4,260.30865786510134,True,0.096584461
481,lak303d-random-22,15,,False,
482,warehouse-20-40-10-2-1-random-25,10,2107.274169979696,True,1.695012824
483,warehouse-20-40-10-2-2-random-21,10,,False,2.634556687
484,warehouse-20-40-10-2-1-random-7,10,,False,
485,random-32-32-10-random-18,4,72.69848480983501,True,0.030748776
486,ht_chantry-random-20,10,,False,
487,ost003d-random-1,20,,False,
488,w_woundedcoast-random-4,10,,False,5.994786792
489,maze-128-128-1-random-25,10,,False,
490,lak303d-random-3,15,,False,
491,ht_chantry-random-9,15,1253.950360212944,True,1.417212269
492,maze-128-128-2-random-6,15,,False,
493,maze-128-128-10-random-10,10,,False,0.531107011
494,maze-128-128-10-random-22,20,,False,4.595891834
495,w_woundedcoast-random-4,2,,False,1.973780892
496,ht_mansion_n-random-23,20,,False,
497,brc202d-random-20,4,,False,4.04143763
498,empty-48-48-random-21,15,258.3502884254441,True,0.260387343
499,ht_mansion_n-random-9,2,167.29646455628165,True,0.17916661
500,empty-16-16-random-9,15,,False,5.336214304
501,maze-32-32-4-random-18,20,,False,
502,room-64-64-8-random-3,2,127.76955262170046,True,0.046812405
503,room-32-32-4-random-8,15,,False,
504,Boston_0_256-random-19,15,,False,1.171418814
505,empty-8-8-random-13,4,15.48528137423857,True,0.003694312
506,ht_mansion_n-random-10,15,1376.5088014401003,True,1.77583511
507,ost003d-random-10,20,,False,
508,maze-32-32-2-random-6,20,,False,
509,warehouse-20-40-10-2-2-random-21,20,,False,
510,random-64-64-10-random-17,2,38.87005768508882,True,0.0354587
