,scenario,num_agents,Solved,Length,Reduction,Pibt solve time,Solve time
112,lt_gallowstemplar_n-random-22,15,True,1867.725972878663,2.6611175959161337,0.9279,1.0571
113,empty-8-8-random-2,2,True,9.48528137423857,0.0,0.0012,0.002
114,room-32-32-4-random-15,4,True,91.12745062475659,7.897297340162381,0.0148,0.0221
115,empty-8-8-random-25,2,True,7.65685424949238,0.0,0.0012,0.002
116,empty-48-48-random-25,20,True,523.1613147416471,9.902459403021798,0.256,0.2963
117,room-64-64-16-random-18,15,True,684.9606146679129,10.948166767566555,0.309,0.4085
118,ht_chantry-random-11,15,True,1177.6601930938273,11.126131426143955,0.5639,0.6554
119,brc202d-random-8,15,True,5142.5894051809055,0.7873517754953636,3.0354,3.4973
120,Berlin_1_256-random-24,100,True,15805.303357650993,10.076839086156314,24.8913,26.9811
121,maze-128-128-10-random-1,10,False,1389.7914185313953,17.5687177620762,0.124,0.4257
122,random-64-64-20-random-3,20,True,769.3218646053908,6.74130430310326,0.3486,0.4047
123,empty-32-32-random-16,4,True,54.02486768603659,16.680520135693193,0.022,0.0264
124,den520d-random-16,15,True,2324.914911482521,10.78101755747696,2.3808,2.5537
125,room-64-64-8-random-12,20,True,1063.3285620121464,10.248806272567922,0.3852,0.4808
126,warehouse-20-40-10-2-1-random-3,10,True,1960.6353104738325,0.6179035222591621,1.43,1.557
127,warehouse-20-40-10-2-1-random-15,20,True,3084.0694827027833,0.6831557454892611,2.2728,2.508
128,Paris_1_256-random-23,20,True,3130.239650714363,10.899473293703647,5.0298,5.3667
129,ht_chantry-random-5,100,True,9867.59328324111,4.451641292888297,4.5984,5.9095
130,den520d-random-25,100,True,16948.0920368915,6.87298283518699,21.3508,23.9005
131,Berlin_1_256-random-8,100,True,17648.096660159517,10.301960022561955,30.5593,32.8768
132,room-64-64-8-random-23,4,True,185.7953834332248,11.9605788257326,0.0775,0.091
133,maze-128-128-1-random-12,4,False,2529.0938637982217,11.786052884610335,0.251,0.3824
134,random-32-32-10-random-9,20,True,336.4762910449893,4.40271809007645,0.0877,0.1149
135,maze-128-128-2-random-1,100,False,52651.28550508983,9.377656786577026,6.8749,11.6037
136,maze-32-32-2-random-14,2,True,39.34423039787346,8.072058442461753,0.004,0.0069
137,Paris_1_256-random-9,4,True,682.9941193880084,10.01180280691793,1.4824,1.5334
138,empty-32-32-random-16,15,True,267.07316148942743,4.393157513317063,0.0937,0.1135
139,brc202d-random-4,100,True,45264.118877822075,1.3670950766893988,25.6985,32.0141
140,room-64-64-16-random-5,100,True,6853.009279347311,2.251079953610218,2.1858,3.3476
141,warehouse-10-20-10-2-2-random-13,20,True,2119.572431993552,4.256871388237694,1.1708,1.3222
142,warehouse-20-40-10-2-2-random-23,100,True,18857.811063178888,5.99144956884592,26.326,29.0142
143,ht_mansion_n-random-14,20,True,1615.8760568139096,7.698246162642369,0.8839,1.0075
144,maze-32-32-4-random-1,4,True,151.52224064265857,10.43012610588313,0.028,0.0406
145,maze-128-128-10-random-7,100,False,23318.602015629967,18.747684533851466,1.7678,6.5689
146,random-64-64-20-random-25,10,True,368.3290844066035,6.833559836428563,0.1508,0.1723
147,random-32-32-10-random-18,20,True,415.69069812411226,4.542086818315607,0.1182,0.1437
148,warehouse-10-20-10-2-1-random-14,15,True,1090.9881032349606,1.9388049375998733,0.5289,0.6204
149,room-32-32-4-random-8,15,True,291.80286231406404,6.192625937952063,0.0568,0.0868
150,warehouse-10-20-10-2-2-random-18,15,True,1369.5409236305213,3.24071839253069,0.7384,0.8362
151,empty-48-48-random-16,100,True,3159.2597589419834,2.3816113295511947,1.6072,2.0595
152,orz900d-random-24,20,False,15751.343373068183,0.023435384732360332,10.5218,11.964
153,empty-32-32-random-8,20,True,387.8393323884383,8.199867432298301,0.1953,0.2309
154,maze-32-32-4-random-9,15,True,785.1686285041447,5.697022826159142,0.1293,0.1817
155,brc202d-random-2,20,True,9265.44637326734,1.4114122570241028,4.9152,5.6182
156,Boston_0_256-random-20,100,True,15475.787381534747,8.3915545716697,26.2993,28.7373
157,Berlin_1_256-random-8,20,True,3627.7050508822713,10.30212852724151,6.9087,7.2093
158,Berlin_1_256-random-3,15,True,2547.904151607916,9.235946312029492,3.9369,4.1151
159,random-64-64-10-random-7,100,True,4395.254282493052,3.752831944684201,2.3559,2.8662
160,maze-128-128-2-random-9,100,False,54187.07419831409,9.428849375193039,7.3333,12.0787
161,random-32-32-20-random-12,2,True,42.25502090209855,8.705441906648385,0.011,0.0132
162,Boston_0_256-random-15,100,True,16583.551093718954,7.745884315774745,28.147,30.3922
163,ht_mansion_n-random-25,10,True,869.6272725633968,4.444685019487237,0.6111,0.6619
164,maze-128-128-10-random-10,15,False,2343.7721161385643,18.984717727668016,0.2599,0.6889
165,random-32-32-20-random-3,4,True,85.59993570281532,8.208580687041993,0.0202,0.0247
166,maze-128-128-10-random-24,4,False,1022.5786147766503,19.291348478559566,0.0987,0.2216
167,warehouse-20-40-10-2-2-random-10,100,True,19268.76676573151,5.793792617791817,24.0375,26.5822
168,lak303d-random-11,10,True,1156.825639453876,9.01924313116746,0.629,0.7206
169,room-32-32-4-random-21,10,True,244.31372753943668,7.635237156269679,0.0435,0.0614
170,maze-128-128-1-random-22,100,False,50284.82067352789,4.731119181675785,4.2282,9.0078
171,maze-32-32-4-random-11,15,True,656.1475291287472,5.748079418301027,0.0844,0.1243
172,room-64-64-16-random-4,4,True,126.66346029224667,13.629797132092556,0.0489,0.0631
173,maze-128-128-2-random-22,2,True,1379.1299230795653,14.467809623027803,0.1992,0.3053
174,empty-32-32-random-25,10,True,162.3118545108285,9.116304146326659,0.0562,0.0653
